AGE,EDUC,MARRIED,KIDS,OCCAT1,OCCAT2,INCOME,WAGEINC,YESFINRISK,NOFINRISK,SAVING,HSTOCKS,HBROK,HOUSECL,NETWORTH,RiskTolerance
62,13.0,2,1,3,4,42760.951866,0.0,0,0,27000.0,0,1,1,221300.0,0.12658227848101267
62,13.0,2,1,3,4,42760.951866,0.0,0,0,27000.0,0,1,1,223500.0,0.12216404886561955
69,13.0,1,0,3,4,52942.130882,0.0,0,1,1800.0,1,1,1,186200.0,0.5803571428571429
69,13.0,1,0,3,4,53960.248783,0.0,0,1,1800.0,1,1,1,187100.0,0.611353711790393
69,13.0,1,0,3,4,55996.484586,0.0,0,1,1800.0,1,1,1,200200.0,0.6920415224913494
69,13.0,1,0,3,4,50905.895078,0.0,0,1,1800.0,1,1,1,209200.0,0.7374631268436578
69,13.0,1,0,3,4,50905.895078,0.0,0,1,1800.0,1,1,1,205200.0,0.7053291536050157
58,10.0,1,1,3,4,308489.72418,152717.68524,0,0,177000.0,1,1,1,7942250.0,0.8966502207218904
58,10.0,1,1,3,4,315616.54949,152717.68524,0,0,121000.0,1,1,1,10208250.0,0.9324942791762014
58,10.0,1,1,3,4,314598.43158,152717.68524,0,0,224000.0,1,1,1,6974250.0,0.8480749219562955
58,10.0,1,1,3,4,308489.72418,152717.68524,0,0,185000.0,1,1,1,7108250.0,0.8214640609473336
58,10.0,1,1,3,4,309507.84208,152717.68524,0,0,127000.0,1,1,1,8564250.0,0.9159776536312849
61,14.0,1,0,2,1,3036027.5825,134391.56301,0,0,0.0,1,1,1,122643400.0,0.3553415864282439
61,14.0,1,0,2,1,2958650.622,124210.38399,0,0,0.0,1,1,1,109587800.0,0.5222695746636584
61,14.0,1,0,2,1,3117477.0146,115047.32288,0,0,0.0,1,1,1,207467740.0,0.5943766029594011
61,14.0,1,0,2,1,3123687.5338,117083.55868,0,0,0.0,1,1,1,285821750.0,0.4830169185070386
61,14.0,1,0,2,1,2978605.7328,137445.91671,0,0,0.0,1,1,1,125040120.0,0.6304069519338945
77,8.0,2,0,1,2,97739.318551,58032.720389,0,0,27000.0,1,0,1,1195000.0,0.90625
77,8.0,2,0,1,2,97739.318551,59050.838291,0,0,27000.0,1,0,1,1239000.0,0.9110378912685337
77,8.0,2,0,1,2,97739.318551,58032.720389,0,0,27000.0,1,0,1,1298000.0,0.9178082191780822
77,8.0,2,0,1,2,97739.318551,58032.720389,0,0,27000.0,1,0,1,1334000.0,0.9196428571428571
77,8.0,2,0,1,2,96721.200649,58032.720389,0,0,27000.0,1,0,1,1251000.0,0.9145569620253164
55,3.0,1,0,2,1,2270402.9205,559964.84586,0,0,0.0,1,1,2,107810000.0,0.9882310663911599
